channel,provider,event_id,title
Security,Microsoft-Windows-Security-Auditing,4714,Data Recovery Agent group policy for Encrypting File System (EFS) has changed
Security,Microsoft-Windows-Security-Auditing,4745,A security-disabled local group was changed
Security,Microsoft-Windows-Security-Auditing,4616,The system time was changed
Security,Microsoft-Windows-Security-Auditing,5479,The IPsec Policy Agent service was stopped.
Security,Microsoft-Windows-Security-Auditing,4875,Certificate Services received a request to shut down
Security,Microsoft-Windows-Security-Auditing,4879,Certificate Services restore completed
Security,Microsoft-Windows-Security-Auditing,5478,The IPsec Policy Agent service was started.
Security,Microsoft-Windows-Security-Auditing,4703,A token right was adjusted
Security,Microsoft-Windows-Security-Auditing,5136,A directory service object was modified
Security,Microsoft-Windows-Security-Auditing,5144,A network share object was deleted
Security,Microsoft-Windows-Security-Auditing,4826,Boot Configuration Data loaded
Security,Microsoft-Windows-Security-Auditing,4712,IPsec Policy Agent encountered a potentially serious failure
Security,Microsoft-Windows-Security-Auditing,5156,The Windows Filtering Platform has allowed a connection.
Security,Microsoft-Windows-Security-Auditing,4886,Certificate Services received a certificate request
Security,Microsoft-Windows-Security-Auditing,5034,The Windows Firewall Driver was stopped.
Security,Microsoft-Windows-Security-Auditing,4962,IPsec dropped an inbound packet that failed a replay check
Security,Microsoft-Windows-Security-Auditing,5127,The OCSP Revocation Provider successfully updated the revocation information.
Security,Microsoft-Windows-Security-Auditing,4873,A certificate request extension changed
Security,Microsoft-Windows-Security-Auditing,5059,Key migration operation.
Security,Microsoft-Windows-Security-Auditing,4634,An account was logged off
Security,Microsoft-Windows-Security-Auditing,5050,An attempt to programmatically disable Windows Firewall was rejected.
Security,Microsoft-Windows-Security-Auditing,4707,A trust to a domain was removed
Security,Microsoft-Windows-Security-Auditing,4822,NTLM authentication failed because the account was a member of the Protected User group
Security,Microsoft-Windows-Security-Auditing,4830,SID History was removed from an account
Security,Microsoft-Windows-Security-Auditing,5030,The Windows Firewall service failed to start.
Security,Microsoft-Windows-Security-Auditing,6417,The FIPS mode crypto selftests succeeded.
Security,Microsoft-Windows-Security-Auditing,5145,A network share object was checked to see whether client can be granted desired access.
Security,Microsoft-Windows-Security-Auditing,4611,A trusted logon process has been registered with the Local Security Authority
Security,Microsoft-Windows-Security-Auditing,4654,An IPsec quick mode negotiation failed
Security,Microsoft-Windows-Security-Auditing,5143,A network share object was modified
Security,Microsoft-Windows-Security-Auditing,4823,NTLM authentication failed because access control restrictions are required
Security,Microsoft-Windows-Security-Auditing,5378,The requested credentials delegation was disallowed by policy.
Security,Microsoft-Windows-Security-Auditing,4647,User initiated logoff
Security,Microsoft-Windows-Security-Auditing,4723,An attempt was made to change an account's password
Security,Microsoft-Windows-Security-Auditing,4670,Permissions on an object were changed
Security,Microsoft-Windows-Security-Auditing,5057,A cryptographic primitive operation failed.
Security,Microsoft-Windows-Security-Auditing,4956,Windows Firewall changed the active profile
Security,Microsoft-Windows-Security-Auditing,6407,n/a
Security,Microsoft-Windows-Security-Auditing,4661,A handle to an object was requested
Security,Microsoft-Windows-Security-Auditing,4790,An LDAP query group was created
Security,Microsoft-Windows-Security-Auditing,4877,Certificate Services backup completed
Security,Microsoft-Windows-Security-Auditing,4662,An operation was performed on an object
Security,Microsoft-Windows-Security-Auditing,5137,A directory service object was created
Security,Microsoft-Windows-Security-Auditing,4944,The following policy was active when the Windows Firewall started
Security,Microsoft-Windows-Security-Auditing,4928,An Active Directory replica source naming context was established
Security,Microsoft-Windows-Security-Auditing,4786,A member was removed from a basic application group
Security,Microsoft-Windows-Security-Auditing,5148,The Windows Filtering Platform has detected a DoS attack.
Security,Microsoft-Windows-Security-Auditing,4824,Kerberos preauthentication by using DES or RC4 failed because the account was a member of the Protected User group
Security,Microsoft-Windows-Security-Auditing,5122,A Configuration entry changed in the OCSP Responder Service.
Security,Microsoft-Windows-Security-Auditing,4768,This event generates every time Key Distribution Center issues a Kerberos Ticket Granting Ticket (TGT).
Security,Microsoft-Windows-Security-Auditing,4713,Kerberos policy was changed
Security,Microsoft-Windows-Security-Auditing,4870,Certificate Services revoked a certificate
Security,Microsoft-Windows-Security-Auditing,5064,A cryptographic context operation was attempted.
Security,Microsoft-Windows-Security-Auditing,4965,IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI)
Security,Microsoft-Windows-Security-Auditing,4700,A scheduled task was enabled
Security,Microsoft-Windows-Security-Auditing,4820,A Kerberos Ticket-granting-ticket (TGT) was denied because the device does not meet the access control restrictions
Security,Microsoft-Windows-Security-Auditing,5071,Key access denied by Microsoft key distribution service.
Security,Microsoft-Windows-Security-Auditing,4892,A property of Certificate Services changed
Security,Microsoft-Windows-Security-Auditing,5033,The Windows Firewall Driver started successfully.
Security,Microsoft-Windows-Security-Auditing,5459,IPsec Policy Agent failed to apply locally cached copy of Active Directory storage IPsec policy on the computer.
Security,Microsoft-Windows-Security-Auditing,5442,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.
Security,Microsoft-Windows-Security-Auditing,5169,A directory service object was modified.
Security,Microsoft-Windows-Security-Auditing,4779,A session was disconnected from a Window Station
Security,Microsoft-Windows-Security-Auditing,4871,Certificate Services received a request to publish the certificate revocation list (CRL)
Security,Microsoft-Windows-Security-Auditing,5461,IPsec Policy Agent failed to apply local registry storage IPsec policy on the computer
Security,Microsoft-Windows-Security-Auditing,5158,The Windows Filtering Platform has permitted a bind to a local port.
Security,Microsoft-Windows-Security-Auditing,5458,IPsec Policy Agent applied locally cached copy of Active Directory storage IPsec policy on the computer.
Security,Microsoft-Windows-Security-Auditing,6420,A device was disabled.
Security,Microsoft-Windows-Security-Auditing,6406,%1 registered to Windows Firewall to control filtering for the following:  %2.
Security,Microsoft-Windows-Security-Auditing,4671,An application attempted to access a blocked ordinal through the TBS
Security,Microsoft-Windows-Security-Auditing,4781,The name of an account was changed
Security,Microsoft-Windows-Security-Auditing,4720,A user account was created
Security,Microsoft-Windows-Security-Auditing,4908,Special Groups Logon table modified
Security,Microsoft-Windows-Security-Auditing,4981,IPsec main mode and extended mode security associations were established
Security,Microsoft-Windows-Security-Auditing,6404,BranchCache: Hosted cache could not be authenticated using the provisioned SSL certificate.
Security,Microsoft-Windows-Security-Auditing,4701,A scheduled task was disabled
Security,Microsoft-Windows-Security-Auditing,4798,A user's local group membership was enumerated
Security,Microsoft-Windows-Security-Auditing,4751,A member was added to a security-disabled global group
Security,Microsoft-Windows-Security-Auditing,4777,The domain controller failed to validate the credentials for an account
Security,Microsoft-Windows-Security-Auditing,5448,A Windows Filtering Platform provider has been changed.
Security,Microsoft-Windows-Security-Auditing,5473,IPsec Policy Agent loaded directory storage IPsec policy on the computer.
Security,Microsoft-Windows-Security-Auditing,5152,The Windows Filtering Platform has blocked a packet.
Security,Microsoft-Windows-Security-Auditing,4785,A member was added to a basic application group
Security,Microsoft-Windows-Security-Auditing,4710,The IPsec Policy Agent service was disabled
Security,Microsoft-Windows-Security-Auditing,4692,Backup of data protection master key was attempted
Security,Microsoft-Windows-Security-Auditing,4749,A security-disabled global group was created
Security,Microsoft-Windows-Security-Auditing,5058,Key file operation.
Security,Microsoft-Windows-Security-Auditing,5048,A change was made to IPsec settings. A crypto set was deleted.
Security,Microsoft-Windows-Security-Auditing,5150,The Windows Filtering Platform has blocked a packet.
Security,Microsoft-Windows-Security-Auditing,5157,The Windows Filtering Platform has blocked a connection.
Security,Microsoft-Windows-Security-Auditing,4719,System audit policy was changed
Security,Microsoft-Windows-Security-Auditing,4885,The audit filter for Certificate Services changed
Security,Microsoft-Windows-Security-Auditing,4791,A basic application group was changed
Security,Microsoft-Windows-Security-Auditing,5452,An IPsec quick mode security association ended.
Security,Microsoft-Windows-Security-Auditing,4907,Auditing settings on object were changed
Security,Microsoft-Windows-Security-Auditing,5035,The Windows Firewall Driver failed to start.
Security,Microsoft-Windows-Security-Auditing,4900,Certificate Services template security was updated
Security,Microsoft-Windows-Security-Auditing,4769,A Kerberos service ticket was requested
Security,Microsoft-Windows-Security-Auditing,4964,Special groups have been assigned to a new logon
